date,fafh,metro,cpi_all_us,federal_rate,core_state_rate,local_rate_max,multistate_avg_rate,mw_core_local,log_fafh,log_cpi_all_us,log_mw_core_local,log_mw_multistate,dlog_fafh,dlog_cpi_all_us,dlog_mw_core_local,dlog_mw_multistate,lead_dlog_mw_core,lag_dlog_mw_core,treated_core,month,year
2009-02-01,204.339,Chicago,212.193,6.55,8,8.25,7.275,8.25,5.319780379346859,5.357496237888367,2.1102132003465894,1.9844438130575563,0.00266579271591727,0.004960608845776093,0,0,0,NA,0,2,2009
2009-03-01,204.886,Chicago,212.709,6.55,8,8.25,7.275,8.25,5.3224537268978365,5.359925034428083,2.1102132003465894,1.9844438130575563,0.0026733475509770344,0.0024287965397160605,0,0,0,0,0,3,2009
2009-04-01,204.936,Chicago,213.24,6.55,8,8.25,7.275,8.25,5.322697735273414,5.36241829195456,2.1102132003465894,1.9844438130575563,2.4400837557791988e-4,0.0024932575264768886,0,0,0,0,0,4,2009
2009-05-01,204.902,Chicago,213.856,6.55,8,8.25,7.275,8.25,5.3225318160561725,5.36530289132866,2.1102132003465894,1.9844438130575563,-1.6591921724185e-4,0.0028845993740995723,0,0,0,0,0,5,2009
2009-06-01,206.353,Chicago,215.693,6.55,8,8.25,7.275,8.25,5.329588294498531,5.373856100388221,2.1102132003465894,1.9844438130575563,0.007056478442358127,0.008553209059561695,0,0,0,0,0,6,2009
2009-07-01,206.025,Chicago,215.351,6.55,8,8.25,7.275,8.25,5.327997520649447,5.372269255092775,2.1102132003465894,1.9844438130575563,-0.001590773849083682,-0.001586845295446615,0,0,0,0,0,7,2009
2009-08-01,206.707,Chicago,215.834,7.25,8,8.25,7.275,8.25,5.331302331619863,5.374509593703902,2.1102132003465894,1.9844438130575563,0.0033048109704161277,0.0022403386111271573,0,0,0,0,0,8,2009
2009-09-01,206.964,Chicago,215.969,7.25,8,8.25,7.275,8.25,5.3325448650972636,5.375134878865879,2.1102132003465894,1.9844438130575563,0.0012425334774004426,6.252851619770183e-4,0,0,0,0,0,9,2009
2009-10-01,206.331,Chicago,216.177,7.25,8,8.25,7.275,8.25,5.329481675390347,5.376097516567314,2.1102132003465894,1.9844438130575563,-0.00306318970691688,9.626377014351206e-4,0,0,0,0,0,10,2009
2009-11-01,207.128,Chicago,216.33,7.25,8,8.25,7.275,8.25,5.333336959649077,5.376805019596778,2.1102132003465894,1.9844438130575563,0.0038552842587300518,7.07503029463652e-4,0,0,0,0,0,11,2009
2009-12-01,207.238,Chicago,215.949,7.25,8,8.25,7.275,8.25,5.333867891253426,5.375042268694437,2.1102132003465894,1.9844438130575563,5.309316043495826e-4,-0.0017627509023405707,0,0,0,0,0,12,2009
2010-01-01,207.434,Chicago,216.687,7.25,8.25,8.25,7.75,8.25,5.334813216785877,5.378453915972145,2.1102132003465894,2.0476928433652555,9.45325532450525e-4,0.003411647277707708,0,0.06324903030769913,0,0,0,1,2010
2010-02-01,207.489,Chicago,216.741,7.25,8.25,8.25,7.75,8.25,5.3350783262173715,5.378703092307219,2.1102132003465894,2.0476928433652555,2.6510943149471444e-4,2.491763350747078e-4,0,0,0,0,0,2,2010
2010-03-01,207.819,Chicago,217.631,7.25,8.25,8.25,7.75,8.25,5.336667508556509,5.382800968070159,2.1102132003465894,2.0476928433652555,0.0015891823391376292,0.004097875762939296,0,0,0,0,0,3,2010
2010-04-01,207.936,Chicago,218.009,7.25,8.25,8.25,7.75,8.25,5.337230340046635,5.384536346340581,2.1102132003465894,2.0476928433652555,5.628314901260367e-4,0.0017353782704221388,0,0,0,0,0,4,2010
2010-05-01,207.512,Chicago,218.178,7.25,8.25,8.25,7.75,8.25,5.335189169323888,5.38531124338454,2.1102132003465894,2.0476928433652555,-0.002041170722747232,7.748970439589442e-4,0,0,0,0,0,5,2010
2010-06-01,208.19,Chicago,217.965,7.25,8.25,8.25,7.75,8.25,5.338451124287682,5.384334499440769,2.1102132003465894,2.0476928433652555,0.0032619549637944445,-9.76743943771119e-4,0,0,0,0,0,6,2010
2010-07-01,207.932,Chicago,218.011,7.25,8.25,8.25,7.75,8.25,5.337211103173396,5.384545520231687,2.1102132003465894,2.0476928433652555,-0.0012400211142864492,2.1102079091850356e-4,0,0,0,0,0,7,2010
2010-08-01,208.023,Chicago,218.312,7.25,8.25,8.25,7.75,8.25,5.337648650511218,5.385925232269552,2.1102132003465894,2.0476928433652555,4.375473378219752e-4,0.0013797120378651329,0,0,0,0,0,8,2010
