metro,date,mw_core_local,core_state_rate,local_rate_max
Chicago,2017-07-01,10,8.25,10
Chicago,2018-07-01,11,8.25,11
Chicago,2019-07-01,12,9.25,12
Chicago,2020-07-01,13,10,13
Chicago,2024-01-01,14,14,13
Chicago,2025-01-01,15,15,13
Los Angeles,2016-07-01,10.5,10,10.5
Los Angeles,2017-07-01,12,10,12
Los Angeles,2018-07-01,13.25,11,13.25
Los Angeles,2019-07-01,14.25,12,14.25
Los Angeles,2020-07-01,15,12,15
Los Angeles,2023-01-01,15.5,15.5,15
Los Angeles,2024-01-01,16,16,15
Los Angeles,2025-01-01,16.5,16.5,15
Los Angeles,2026-01-01,16.9,16.9,15
New York,2009-08-01,7.25,7.25,NA
New York,2014-01-01,8,8,NA
New York,2015-01-01,8.75,8.75,NA
New York,2016-01-01,9,9,NA
New York,2017-01-01,9.7,9.7,NA
New York,2018-01-01,10.4,10.4,NA
New York,2019-01-01,11.8,11.8,NA
New York,2021-01-01,12.5,12.5,NA
New York,2022-01-01,13.2,13.2,NA
New York,2023-01-01,14.2,14.2,NA
New York,2024-01-01,15,15,NA
New York,2025-01-01,16.5,16.5,NA
New York,2026-01-01,17,17,NA
